年份,Australia,Canada,France,Germany,Italy,Japan,Korea,Taiwan,United Kingdom,United States,,,,,,,,,,,,,
2000,40,38,81,91,47,147,61,57,41,35,,,,,,,,,,,,,
2001,39,37,79,90,46,146,61,57,40,35,,,,,,,,,,,,,
2002,39,36,77,89,44,144,48,59,40,34,,,,,,,,,,,,,
2003,39,35,75,87,42,143,51,60,39,33,,,,,,,,,,,,,
2004,40,34,74,86,40,142,54,63,39,33,,,,,,,,,,,,,
2005,39,34,72,85,40,141,59,64,37,32,,,,,,,,,,,,,
2006,39,34,71,83,39,140,65,65,36,32,,,,,,,,,,,,,
2007,38.5,33,71,82,38,139,73,66,34,31,,,,,,,,,,,,,
2008,38,32,69,82,37,138,77,66,34,31,,,,,,,,,,,,,
2009,37,32,67,82,36,137,82,68,33,31,,,,,,,,,,,,,
2010,37,32,64,83,35,136,88,69,30,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,61,61
,,,,,,,,,,,,,,,,,,,,,,35,35
,,,,,,,,,,,,,,,,,,,,,,35,35
,,,,,,,,,,,,,,,,,,,,,,34,34
,,,,,,,,,,,,,,,,,,,,,,33,33
,,,,,,,,,,,,,,,,,,,,,,33,33
,,,,,,,,,,,,,,,,,,,,,32,32,32
,,,,,,,,,,,,,,,,,,,,,32,32,32
,,,,,,,,,,,,,,,,,,,,,31,31,31
,,,,,,,,,,,,,,,,,,,,,31,31,31
,,,,,,,,,,,,,,,,,,,,,31,31,31
,,,,,,,,,,,,,,,,,,,,,0,0,0